course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BARCH,1,2014-15,NAR101,architectural design 1,https://www.aktuonline.com/papers/barch-1-sem-architectural-design-1-nar-101-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-design-1-nar-101-2015.pdf,,corpus/aktuonline3/barch-1-sem-architectural-design-1-nar-101-2015.pdf,OK,2026-09-20T15:40:10+00:00
BARCH,1,2014-15,NAR104,architectural drawing 1,https://www.aktuonline.com/papers/barch-1-sem-architectural-drawing-1-nar-104-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-drawing-1-nar-104-2015.pdf,,corpus/aktuonline3/barch-1-sem-architectural-drawing-1-nar-104-2015.pdf,OK,2026-09-20T15:40:13+00:00
BARCH,1,2014-15,NAR103,architectural structures 1,https://www.aktuonline.com/papers/barch-1-sem-architectural-structures-1-nar-103-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-structures-1-nar-103-2015.pdf,,corpus/aktuonline3/barch-1-sem-architectural-structures-1-nar-103-2015.pdf,OK,2026-09-20T15:40:17+00:00
BARCH,1,2014-15,AR105,arts and graphics 1,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-ar-105-2015.html,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-ar-105-2015.pdf,,corpus/aktuonline3/barch-1-sem-arts-and-graphics-1-ar-105-2015.pdf,OK,2026-09-20T15:40:20+00:00
BARCH,1,2019-20,RAR105,arts and graphics 1,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-rar105-2020.html,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-rar105-2020.pdf,,corpus/aktuonline3/barch-1-sem-arts-and-graphics-1-rar105-2020.pdf,OK,2026-09-20T15:40:23+00:00
BARCH,1,2014-15,NAR107,communication skills and techniques,https://www.aktuonline.com/papers/barch-1-sem-communication-skills-and-techniques-nar-107-2015.html,https://www.aktuonline.com/papers/barch-1-sem-communication-skills-and-techniques-nar-107-2015.pdf,,corpus/aktuonline3/barch-1-sem-communication-skills-and-techniques-nar-107-2015.pdf,OK,2026-09-20T15:40:26+00:00
BARCH,1,2020-21,RAR102,construction and material 1,https://www.aktuonline.com/papers/barch-1-sem-construction-and-material-1-rar102-2021.html,https://www.aktuonline.com/papers/barch-1-sem-construction-and-material-1-rar102-2021.pdf,,corpus/aktuonline3/barch-1-sem-construction-and-material-1-rar102-2021.pdf,OK,2026-09-20T15:40:30+00:00
BARCH,1,2014-15,AR102,construction and materials 1,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-ar-102-2015.html,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-ar-102-2015.pdf,,corpus/aktuonline3/barch-1-sem-construction-and-materials-1-ar-102-2015.pdf,OK,2026-09-20T15:40:33+00:00
BARCH,1,2014-15,NAR102,construction and materials 1,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-nar-102-2015.html,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-nar-102-2015.pdf,,corpus/aktuonline3/barch-1-sem-construction-and-materials-1-nar-102-2015.pdf,OK,2026-09-20T15:40:36+00:00
BARCH,1,2014-15,NAR109,sociology,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar-109-2015.html,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar-109-2015.pdf,,corpus/aktuonline3/barch-1-sem-sociology-nar-109-2015.pdf,OK,2026-09-20T15:40:39+00:00
BARCH,1,2021-22,NAR109,sociology,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar109-2022.html,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar109-2022.pdf,,corpus/aktuonline3/barch-1-sem-sociology-nar109-2022.pdf,OK,2026-09-20T15:40:43+00:00
BARCH,1,2019-20,NAR106,surveying and levelling,https://www.aktuonline.com/papers/barch-1-sem-surveying-and-levelling-nar106-2020.html,https://www.aktuonline.com/papers/barch-1-sem-surveying-and-levelling-nar106-2020.pdf,,corpus/aktuonline3/barch-1-sem-surveying-and-levelling-nar106-2020.pdf,OK,2026-09-20T15:40:46+00:00
BARCH,,2006-07,,design practice and office management ar 1003,https://www.aktuonline.com/papers/barch-10-sem-design-practice-and-office-management-ar-1003-2007.html,https://www.aktuonline.com/papers/barch-10-sem-design-practice-and-office-management-ar-1003-2007.pdf,,corpus/aktuonline3/barch-10-sem-design-practice-and-office-management-ar-1003-2007.pdf,OK,2026-09-20T15:40:49+00:00
BARCH,,2017-18,,development legislation ar1003,https://www.aktuonline.com/papers/barch-10-sem-development-legislation-ar1003-2018.html,https://www.aktuonline.com/papers/barch-10-sem-development-legislation-ar1003-2018.pdf,,corpus/aktuonline3/barch-10-sem-development-legislation-ar1003-2018.pdf,OK,2026-09-20T15:40:52+00:00
BARCH,,2006-07,,professional practice 2 ar 1002,https://www.aktuonline.com/papers/barch-10-sem-professional-practice-2-ar-1002-2007.html,https://www.aktuonline.com/papers/barch-10-sem-professional-practice-2-ar-1002-2007.pdf,,corpus/aktuonline3/barch-10-sem-professional-practice-2-ar-1002-2007.pdf,OK,2026-09-20T15:40:56+00:00
BARCH,2,2006-07,AR203,ar strutures 2,https://www.aktuonline.com/papers/barch-2-sem-ar-strutures-2-ar-203-2007.html,https://www.aktuonline.com/papers/barch-2-sem-ar-strutures-2-ar-203-2007.pdf,,corpus/aktuonline3/barch-2-sem-ar-strutures-2-ar-203-2007.pdf,OK,2026-09-20T15:40:59+00:00
