course,branch,semester,paper_name,paper_code,exam_label,academic_year,paper_url,pdf_url,in_db
BARCH,,1,architectural design 1,NAR101,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-architectural-design-1-nar-101-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-design-1-nar-101-2015.pdf,N
BARCH,,1,architectural drawing 1,AR104,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-architectural-drawing-1-ar-104-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-drawing-1-ar-104-2015.pdf,N
BARCH,,1,architectural drawing 1,NAR104,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-architectural-drawing-1-nar-104-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-drawing-1-nar-104-2015.pdf,N
BARCH,,1,architectural structures 1,AR103,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-architectural-structures-1-ar-103-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-structures-1-ar-103-2015.pdf,N
BARCH,,1,architectural structures 1,NAR103,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-architectural-structures-1-nar-103-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-structures-1-nar-103-2015.pdf,N
BARCH,,1,architectural structures 2,NAR203,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-architectural-structures-2-nar-203-2015.html,https://www.aktuonline.com/papers/barch-1-sem-architectural-structures-2-nar-203-2015.pdf,N
BARCH,,1,arts and graphics 1,AR105,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-ar-105-2015.html,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-ar-105-2015.pdf,N
BARCH,,1,arts and graphics 1,NAR105,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-nar-105-2015.html,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-nar-105-2015.pdf,N
BARCH,,1,arts and graphics 1,RAR105,2020,2019-20,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-rar105-2020.html,https://www.aktuonline.com/papers/barch-1-sem-arts-and-graphics-1-rar105-2020.pdf,N
BARCH,,1,building construction 1,NAR102,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-building-construction-1-nar-102-2015.html,https://www.aktuonline.com/papers/barch-1-sem-building-construction-1-nar-102-2015.pdf,N
BARCH,,1,communication skills and techniques,NAR107,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-communication-skills-and-techniques-nar-107-2015.html,https://www.aktuonline.com/papers/barch-1-sem-communication-skills-and-techniques-nar-107-2015.pdf,N
BARCH,,1,communication skills and techniques,RAR107,2020,2019-20,https://www.aktuonline.com/papers/barch-1-sem-communication-skills-and-techniques-rar107-2020.html,https://www.aktuonline.com/papers/barch-1-sem-communication-skills-and-techniques-rar107-2020.pdf,N
BARCH,,1,construction and material 1,RAR102,2021,2020-21,https://www.aktuonline.com/papers/barch-1-sem-construction-and-material-1-rar102-2021.html,https://www.aktuonline.com/papers/barch-1-sem-construction-and-material-1-rar102-2021.pdf,N
BARCH,,1,construction and material 3,AR302,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-construction-and-material-3-ar-302-2015.html,https://www.aktuonline.com/papers/barch-1-sem-construction-and-material-3-ar-302-2015.pdf,N
BARCH,,1,construction and materials 1,AR102,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-ar-102-2015.html,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-ar-102-2015.pdf,N
BARCH,,1,construction and materials 1,AR102,2019,2018-19,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-ar-102-2019.html,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-ar-102-2019.pdf,N
BARCH,,1,construction and materials 1,NAR102,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-nar-102-2015.html,https://www.aktuonline.com/papers/barch-1-sem-construction-and-materials-1-nar-102-2015.pdf,N
BARCH,,1,human values and professional ethics,RVE101,2020,2019-20,https://www.aktuonline.com/papers/barch-1-sem-human-values-and-professional-ethics-rve101-2020.html,https://www.aktuonline.com/papers/barch-1-sem-human-values-and-professional-ethics-rve101-2020.pdf,N
BARCH,,1,sociology,NAR109,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar-109-2015.html,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar-109-2015.pdf,N
BARCH,,1,sociology,NAR109,2020,2019-20,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar109-2020.html,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar109-2020.pdf,N
BARCH,,1,sociology,NAR109,2022,2021-22,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar109-2022.html,https://www.aktuonline.com/papers/barch-1-sem-sociology-nar109-2022.pdf,N
BARCH,,1,surveying and leveling,NAR106,2015,2014-15,https://www.aktuonline.com/papers/barch-1-sem-surveying-and-leveling-nar-106-2015.html,https://www.aktuonline.com/papers/barch-1-sem-surveying-and-leveling-nar-106-2015.pdf,N
BARCH,,1,surveying and levelling,NAR106,2020,2019-20,https://www.aktuonline.com/papers/barch-1-sem-surveying-and-levelling-nar106-2020.html,https://www.aktuonline.com/papers/barch-1-sem-surveying-and-levelling-nar106-2020.pdf,N
BARCH,,1,universal human value and professional ethics,RVE101,2019,2018-19,https://www.aktuonline.com/papers/barch-1-sem-universal-human-value-and-professional-ethics-rve101-2019.html,https://www.aktuonline.com/papers/barch-1-sem-universal-human-value-and-professional-ethics-rve101-2019.pdf,N
BARCH,,,design practice and office management ar 1003,,2007,2006-07,https://www.aktuonline.com/papers/barch-10-sem-design-practice-and-office-management-ar-1003-2007.html,https://www.aktuonline.com/papers/barch-10-sem-design-practice-and-office-management-ar-1003-2007.pdf,N
BARCH,,,development legislation ar 1003,,2007,2006-07,https://www.aktuonline.com/papers/barch-10-sem-development-legislation-ar-1003-2007.html,https://www.aktuonline.com/papers/barch-10-sem-development-legislation-ar-1003-2007.pdf,N
BARCH,,,development legislation ar1003,,2018,2017-18,https://www.aktuonline.com/papers/barch-10-sem-development-legislation-ar1003-2018.html,https://www.aktuonline.com/papers/barch-10-sem-development-legislation-ar1003-2018.pdf,N
BARCH,,,office design management ar mgt 1003,,2007,2006-07,https://www.aktuonline.com/papers/barch-10-sem-office-design-management-ar-mgt-1003-2007.html,https://www.aktuonline.com/papers/barch-10-sem-office-design-management-ar-mgt-1003-2007.pdf,N
BARCH,,,professional practice 2 ar 1002,,2007,2006-07,https://www.aktuonline.com/papers/barch-10-sem-professional-practice-2-ar-1002-2007.html,https://www.aktuonline.com/papers/barch-10-sem-professional-practice-2-ar-1002-2007.pdf,N
BARCH,,,professional practice 2 ar1002,,2018,2017-18,https://www.aktuonline.com/papers/barch-10-sem-professional-practice-2-ar1002-2018.html,https://www.aktuonline.com/papers/barch-10-sem-professional-practice-2-ar1002-2018.pdf,N
BARCH,,2,ar strutures 2,AR203,2007,2006-07,https://www.aktuonline.com/papers/barch-2-sem-ar-strutures-2-ar-203-2007.html,https://www.aktuonline.com/papers/barch-2-sem-ar-strutures-2-ar-203-2007.pdf,N
BARCH,,2,architectual design 2,RAR201,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-architectual-design-2-rar201-2018.html,https://www.aktuonline.com/papers/barch-2-sem-architectual-design-2-rar201-2018.pdf,N
BARCH,,2,architectual structure 2,RAR203,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-architectual-structure-2-rar203-2018.html,https://www.aktuonline.com/papers/barch-2-sem-architectual-structure-2-rar203-2018.pdf,N
BARCH,,2,architectural design 2,AR201,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-ar201-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-ar201-2015.pdf,N
BARCH,,2,architectural design 2,AR201,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-ar201-2018.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-ar201-2018.pdf,N
BARCH,,2,architectural design 2,NAR201,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-nar201-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-nar201-2015.pdf,N
BARCH,,2,architectural design 2,NAR201,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-nar201-2018.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-nar201-2018.pdf,N
BARCH,,2,architectural design 2,RAR204,2019,2018-19,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-rar204-2019.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-design-2-rar204-2019.pdf,N
BARCH,,2,architectural drawing 2,AR204,2007,2006-07,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-ar-204-2007.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-ar-204-2007.pdf,N
BARCH,,2,architectural drawing 2,AR204,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-ar204-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-ar204-2015.pdf,N
BARCH,,2,architectural drawing 2,NAR204,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-nar-204-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-nar-204-2015.pdf,N
BARCH,,2,architectural drawing 2,NAR204,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-nar204-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-nar204-2015.pdf,N
BARCH,,2,architectural drawing 2,RAR204,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-rar204-2018.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-drawing-2-rar204-2018.pdf,N
BARCH,,2,architectural services 1,NAR206,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-services-1-nar206-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-services-1-nar206-2015.pdf,N
BARCH,,2,architectural services 1,NAR206,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-architectural-services-1-nar206-2018.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-services-1-nar206-2018.pdf,N
BARCH,,2,architectural services 2,NAR206,2019,2018-19,https://www.aktuonline.com/papers/barch-2-sem-architectural-services-2-nar206-2019.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-services-2-nar206-2019.pdf,N
BARCH,,2,architectural structure 2,RAR203,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-architectural-structure-2-rar203-2018.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-structure-2-rar203-2018.pdf,N
BARCH,,2,architectural structures 2,AR203,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-ar203-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-ar203-2015.pdf,N
BARCH,,2,architectural structures 2,NAR203,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-nar203-2015.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-nar203-2015.pdf,N
BARCH,,2,architectural structures 2,RAR203,2017,2016-17,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-rar203-2017.html,https://www.aktuonline.com/papers/barch-2-sem-architectural-structures-2-rar203-2017.pdf,N
BARCH,,2,art and graphics 2,NAR205,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-art-and-graphics-2-nar205-2018.html,https://www.aktuonline.com/papers/barch-2-sem-art-and-graphics-2-nar205-2018.pdf,N
BARCH,,2,art and graphics 4,NAR405,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-art-and-graphics-4-nar405-2018.html,https://www.aktuonline.com/papers/barch-2-sem-art-and-graphics-4-nar405-2018.pdf,N
BARCH,,2,arts and graphic,AR205,2007,2006-07,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphic-ar-205-2007.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphic-ar-205-2007.pdf,N
BARCH,,2,arts and graphics 2,AR205,2019,2018-19,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-ar205-2019.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-ar205-2019.pdf,N
BARCH,,2,arts and graphics 2,NAR205,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar-205-2015.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar-205-2015.pdf,N
BARCH,,2,arts and graphics 2,NAR205,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar205-2015.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-2-nar205-2015.pdf,N
BARCH,,2,arts and graphics 4,AR205,2015,2014-15,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-4-ar205-2015.html,https://www.aktuonline.com/papers/barch-2-sem-arts-and-graphics-4-ar205-2015.pdf,N
BARCH,,2,arts graphic 2,AR205,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-arts-graphic-2-ar205-2018.html,https://www.aktuonline.com/papers/barch-2-sem-arts-graphic-2-ar205-2018.pdf,N
BARCH,,2,arts graphics 2,RAR205,2018,2017-18,https://www.aktuonline.com/papers/barch-2-sem-arts-graphics-2-rar205-2018.html,https://www.aktuonline.com/papers/barch-2-sem-arts-graphics-2-rar205-2018.pdf,N
BARCH,,2,construction and materials 2,AR202,2007,2006-07,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-ar-202-2007.html,https://www.aktuonline.com/papers/barch-2-sem-construction-and-materials-2-ar-202-2007.pdf,N
