course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BTech,1,2021-22,KMC-101,Artificial Intelligence For Engineers,https://ryzenstudy.com/papers/aktu-btech-sem-1-artificial-intelligence-for-engineers-2021-22,https://ryzenstudy.com/uploads/1774894566637-ARTIFICIAL_INTELLIGENCE_FOR_ENGINEERS_KMC_101.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KMC-101__artificial-intelligence-for-engineers.pdf,BTech__Sem01__2021-22__KMC-101__artificial-intelligence-for-engineers.pdf,OK,2026-09-07 08:42:55
BTech,1,2021-22,KEE-101T,Basic Of Electrical Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-1-basic-of-electrical-engineering-2021-22,https://ryzenstudy.com/uploads/1774894566558-BASIC_OF_ELECTRICAL_ENGINEERING_KEE_101T.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KEE-101T__basic-of-electrical-engineering.pdf,BTech__Sem01__2021-22__KEE-101T__basic-of-electrical-engineering.pdf,OK,2026-09-07 08:42:59
BTech,1,2021-22,KEC-101T,Emerging Domain In Electronics Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-1-emerging-domain-in-electronics-engineering-2021-22,https://ryzenstudy.com/uploads/1774894566732-EMERGING_DOMAIN_IN_ELECTRONICS_ENGINEERING_KEC_101T.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KEC-101T__emerging-domain-in-electronics-engineering.pdf,BTech__Sem01__2021-22__KEC-101T__emerging-domain-in-electronics-engineering.pdf,OK,2026-09-07 08:43:01
BTech,1,2021-22,KMC-102,Emerging Technology For Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-1-emerging-technology-for-engineering-2021-22,https://ryzenstudy.com/uploads/1774894567225-EMERGING_TECHNOLOGY_FOR_ENGINEERING_KMC_102.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KMC-102__emerging-technology-for-engineering.pdf,BTech__Sem01__2021-22__KMC-102__emerging-technology-for-engineering.pdf,OK,2026-09-07 08:43:04
BTech,1,2021-22,KAS-102T,Engineering Chemistry,https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2021-22,https://ryzenstudy.com/uploads/1774894567084-ENGINEERING_CHEMISTRY_KAS_102T.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KAS-102T__engineering-chemistry.pdf,BTech__Sem01__2021-22__KAS-102T__engineering-chemistry.pdf,OK,2026-09-07 08:43:06
BTech,1,2022-23,BAS-102,Engineering Chemistry,https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2022-23,https://ryzenstudy.com/uploads/1774894660689-ENGINEERING_CHEMISTRY_BAS_102.pdf,BTech\Sem-01\2022-23\BTech__Sem01__2022-23__BAS-102__engineering-chemistry.pdf,BTech__Sem01__2022-23__BAS-102__engineering-chemistry.pdf,OK,2026-09-07 08:43:09
BTech,1,2023-24,BAS102,Engineering Chemistry,https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2023-24,https://ryzenstudy.com/uploads/1774894706337-BAS102_ENGINEERING_CHEMISTRY.pdf,BTech\Sem-01\2023-24\BTech__Sem01__2023-24__BAS102__engineering-chemistry.pdf,BTech__Sem01__2023-24__BAS102__engineering-chemistry.pdf,OK,2026-09-07 08:43:12
BTech,1,2024-25,BAS102,Engineering Chemistry,https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2024-25,https://ryzenstudy.com/uploads/1774894742878-BAS102_ENGINEERING_CHEMISTRY.pdf,BTech\Sem-01\2024-25\BTech__Sem01__2024-25__BAS102__engineering-chemistry.pdf,BTech__Sem01__2024-25__BAS102__engineering-chemistry.pdf,OK,2026-09-07 08:43:16
BTech,1,2025-26,BAS102,Engineering Chemistry,https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2025-26,https://ryzenstudy.com/uploads/1774895819611-BAS102_ENGINEERING_CHEMISTRY.pdf,BTech\Sem-01\2025-26\BTech__Sem01__2025-26__BAS102__engineering-chemistry.pdf,BTech__Sem01__2025-26__BAS102__engineering-chemistry.pdf,OK,2026-09-07 08:43:19
BTech,1,2021-22,KAS-103T,Engineering Mathematics I,https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-mathematics-i-2021-22,https://ryzenstudy.com/uploads/1774894567006-ENGINEERING_MATHEMATICS_I_KAS_103T.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KAS-103T__engineering-mathematics-i.pdf,BTech__Sem01__2021-22__KAS-103T__engineering-mathematics-i.pdf,OK,2026-09-07 08:43:21
