course,semester,academic_year,subject_slug,url
BBA,Sem 1,2024-25,business-communication,https://ryzenstudy.com/papers/aktu-bba-sem-1-business-communication-2024-25
BBA,Sem 1,2024-25,business-english,https://ryzenstudy.com/papers/aktu-bba-sem-1-business-english-2024-25
BBA,Sem 1,2024-25,business-mathematics,https://ryzenstudy.com/papers/aktu-bba-sem-1-business-mathematics-2024-25
BBA,Sem 1,2024-25,environmental-science,https://ryzenstudy.com/papers/aktu-bba-sem-1-environmental-science-2024-25
BBA,Sem 1,2024-25,financial-accounting,https://ryzenstudy.com/papers/aktu-bba-sem-1-financial-accounting-2024-25
BBA,Sem 1,2024-25,it-application-i,https://ryzenstudy.com/papers/aktu-bba-sem-1-it-application-i-2024-25
BBA,Sem 1,2024-25,principles-of-management,https://ryzenstudy.com/papers/aktu-bba-sem-1-principles-of-management-2024-25
BBA,Sem 1,2025-26,business-communication,https://ryzenstudy.com/papers/aktu-bba-sem-1-business-communication-2025-26
BBA,Sem 1,2025-26,business-english,https://ryzenstudy.com/papers/aktu-bba-sem-1-business-english-2025-26
BBA,Sem 1,2025-26,business-mathematics,https://ryzenstudy.com/papers/aktu-bba-sem-1-business-mathematics-2025-26
BBA,Sem 1,2025-26,environmental-science,https://ryzenstudy.com/papers/aktu-bba-sem-1-environmental-science-2025-26
BBA,Sem 1,2025-26,financial-accounting,https://ryzenstudy.com/papers/aktu-bba-sem-1-financial-accounting-2025-26
BBA,Sem 1,2025-26,it-application-i,https://ryzenstudy.com/papers/aktu-bba-sem-1-it-application-i-2025-26
BBA,Sem 1,2025-26,principles-of-management,https://ryzenstudy.com/papers/aktu-bba-sem-1-principles-of-management-2025-26
BBA,Sem 2,2024-25,basics-of-statistics,https://ryzenstudy.com/papers/aktu-bba-sem-2-basics-of-statistics-2024-25
BBA,Sem 2,2024-25,it-application-ii,https://ryzenstudy.com/papers/aktu-bba-sem-2-it-application-ii-2024-25
BBA,Sem 2,2024-25,management-accounting,https://ryzenstudy.com/papers/aktu-bba-sem-2-management-accounting-2024-25
BBA,Sem 2,2024-25,organizational-behavior,https://ryzenstudy.com/papers/aktu-bba-sem-2-organizational-behavior-2024-25
BBA,Sem 2,2024-25,principals-of-economics,https://ryzenstudy.com/papers/aktu-bba-sem-2-principals-of-economics-2024-25
BBA,Sem 2,2024-25,soft-skills-i,https://ryzenstudy.com/papers/aktu-bba-sem-2-soft-skills-i-2024-25
BBA,Sem 3,2025-26,customer-relationship-management,https://ryzenstudy.com/papers/aktu-bba-sem-3-customer-relationship-management-2025-26
BBA,Sem 3,2025-26,financial-management,https://ryzenstudy.com/papers/aktu-bba-sem-3-financial-management-2025-26
BBA,Sem 3,2025-26,holistic-health-happiness,https://ryzenstudy.com/papers/aktu-bba-sem-3-holistic-health-happiness-2025-26
BBA,Sem 3,2025-26,human-resource-management,https://ryzenstudy.com/papers/aktu-bba-sem-3-human-resource-management-2025-26
BBA,Sem 3,2025-26,marketing-management-i,https://ryzenstudy.com/papers/aktu-bba-sem-3-marketing-management-i-2025-26
